Index,Timestamp,Chiller_ID,Label_Type,Status
595,2018-06-05 01:30:00 SGT,,,
596,2018-06-05 01:35:00 SGT,,,
597,2018-06-05 01:40:00 SGT,,,
598,2018-06-05 01:45:00 SGT,,,
599,2018-06-05 01:50:00 SGT,,,
600,2018-06-05 01:55:00 SGT,,,
601,2018-06-05 02:00:00 SGT,,,
602,2018-06-05 02:05:00 SGT,,,
603,2018-06-05 02:10:00 SGT,,,
604,2018-06-05 02:15:00 SGT,,,
605,2018-06-05 02:20:00 SGT,,,
606,2018-06-05 02:25:00 SGT,,,
607,2018-06-05 02:30:00 SGT,,,
608,2018-06-05 02:35:00 SGT,,,
609,2018-06-05 02:40:00 SGT,,,
610,2018-06-05 02:45:00 SGT,,,
611,2018-06-05 02:50:00 SGT,,,
612,2018-06-05 02:55:00 SGT,,,
613,2018-06-05 03:00:00 SGT,,,
614,2018-06-05 03:05:00 SGT,,,
615,2018-06-05 03:10:00 SGT,,,
616,2018-06-05 03:15:00 SGT,,,
617,2018-06-05 03:20:00 SGT,,,
618,2018-06-05 03:25:00 SGT,,,
619,2018-06-05 03:30:00 SGT,,,
620,2018-06-05 03:35:00 SGT,,,
621,2018-06-05 03:40:00 SGT,,,
622,2018-06-05 03:45:00 SGT,,,
623,2018-06-05 03:50:00 SGT,,,
624,2018-06-05 03:55:00 SGT,,,
625,2018-06-05 04:00:00 SGT,,,
626,2018-06-05 04:05:00 SGT,,,
627,2018-06-05 04:10:00 SGT,,,
628,2018-06-05 04:15:00 SGT,,,
629,2018-06-05 04:20:00 SGT,,,
